State,District,Total Unsold,Average Selling Price(RM),Household Income(RM)
Melaka,Alor Gajah,63,"429520,54",7680
Kedah,Baling,13,334462,5600
Kedah,Bandar Baharu,4,402153,4580
Selangor,Bangsar,2015,3044137,8200
Johor,Batu Pahat,311,"659624,4333",7885
Pahang,Bentong,63,"1193500,413",4980
Pahang,Cameron Highlands,33,"1665281,93",7670
Penang,Central Seberang Perai ,530,623548,8975
Selangor,Cheras,8315,782120,7850
Penang,George town,2477,1996970,7540
Melaka,Jasin,12,"485230,5667",6890
Pahang,Jerantut,5,"394632,5",5135
Johor,Johor Bahru,6833,"918689,6286",9315
Perak,Kampar,96,"286151,2125",5460
Selangor,Kepong,5116,611937,7500
Selangor,Klang,1662,"881640,7667",9800
Johor,Kluang,166,"524531,72",7465
Kelantan,Kota Bharu,78,298564,5200
Sabah,Kota Kinabalu,109,"714413,9875",5560
Johor,Kota Tinggi,305,"730616,63",8600
Perak,Kuala Kangsar,92,286543,6730
Kedah,Kuala Muda,4,201321,5215
N9,Kuala Pilah,39,321536,5545
Terengganu,Kuala Terengganu,26,"533081,5",7255
Pahang,Kuantan,435,"653900,3",5540
Sarawak,Kuching,142,"698549,95",6200
Kedah,Kulim,168,496246,6400
Sarawak,Miri,19,485354,6350
Selangor,Mont Kiara,3172,1680471,8500
Johor,Muar,73,"572560,725",7200
Penang,North Seberang Perai,225,"515224,6286",7652
Kelantan,Pasir Mas,21,153462,4285
Perlis,Perlis,64,345190,5476
Selangor,Petaling,9980,2329819,12100
N9,Port Dickson,201,"567202,3571",7290
Sabah,Sandakan,15,215345,5875
Johor,Segamat,41,452351,6550
Selangor,Sepang,4989,"982080,9286",12200
N9,Seremban,2474,"1603934,473",6980
Selangor,Shah Alam,6393,"1058783,05",8700
Sarawak,Sibu,8,"458720,85",5225
Kedah,Sik,6,245167,4880
Sabah,Tawau,10,301245,4950
